BRECU, Arrivals ," 1,757 "
BRECU, % Penetraciï¿½n ,17.2%
BRECU, Q's , 302 
BRECU, Contracts , 35 
BRECU, Average Price ," 14,143 "
BRECU, Closing Rate ,11.6%
BRECU, VPG ," 1,639 "
BRECU, Volume ," 495,009 "
BRERC, Arrivals ," 1,905 "
BRERC, % Penetraciï¿½n ,13.9%
BRERC, Q's , 264 
BRERC, Contracts , 54 
BRERC, Average Price ," 24,245 "
BRERC, Closing Rate ,20.5%
BRERC, VPG ," 4,959 "
BRERC, Volume ," 1,309,218 "
DRCZM, Arrivals , 698 
DRCZM, % Penetraciï¿½n ,16.9%
DRCZM, Q's , 118 
DRCZM, Contracts , 15 
DRCZM, Average Price ," 19,376 "
DRCZM, Closing Rate ,12.7%
DRCZM, VPG ," 2,463 "
DRCZM, Volume ," 290,635 "
DRENA, Arrivals ," 1,745 "
DRENA, % Penetraciï¿½n ,13.3%
DRENA, Q's , 232 
DRENA, Contracts , 60 
DRENA, Average Price ," 21,529 "
DRENA, Closing Rate ,25.9%
DRENA, VPG ," 5,568 "
DRENA, Volume ," 1,291,744 "
DREPA, Arrivals ," 1,049 "
DREPA, % Penetraciï¿½n ,10.8%
DREPA, Q's , 113 
DREPA, Contracts , 24 
DREPA, Average Price ," 18,401 "
DREPA, Closing Rate ,21.2%
DREPA, VPG ," 3,908 "
DREPA, Volume ," 441,632 "
DREPM, Arrivals ," 1,529 "
DREPM, % Penetraciï¿½n ,11.2%
DREPM, Q's , 171 
DREPM, Contracts , 40 
DREPM, Average Price ," 20,420 "
DREPM, Closing Rate ,23.4%
DREPM, VPG ," 4,777 "
DREPM, Volume ," 816,789 "
DRERC, Arrivals ," 1,441 "
DRERC, % Penetraciï¿½n ,10.6%
DRERC, Q's , 153 
DRERC, Contracts , 41 
DRERC, Average Price ," 21,112 "
DRERC, Closing Rate ,26.8%
DRERC, VPG ," 5,657 "
DRERC, Volume ," 865,592 "
DRESC, Arrivals ," 1,863 "
DRESC, % Penetraciï¿½n ,14.2%
DRESC, Q's , 265 
DRESC, Contracts , 57 
DRESC, Average Price ," 17,425 "
DRESC, Closing Rate ,21.5%
DRESC, VPG ," 3,748 "
DRESC, Volume ," 993,216 "
DRETU, Arrivals ," 1,402 "
DRETU, % Penetraciï¿½n ,18.1%
DRETU, Q's , 254 
DRETU, Contracts , 44 
DRETU, Average Price ," 19,780 "
DRETU, Closing Rate ,17.3%
DRETU, VPG ," 3,426 "
DRETU, Volume ," 870,315 "
DREVC, Arrivals ," 1,367 "
DREVC, % Penetraciï¿½n ,22.1%
DREVC, Q's , 302 
DREVC, Contracts , 64 
DREVC, Average Price ," 19,927 "
DREVC, Closing Rate ,21.2%
DREVC, VPG ," 4,223 "
DREVC, Volume ," 1,275,351 "
DRJRC, Arrivals ," 1,338 "
DRJRC, % Penetraciï¿½n ,16.6%
DRJRC, Q's , 222 
DRJRC, Contracts , 44 
DRJRC, Average Price ," 21,612 "
DRJRC, Closing Rate ,19.8%
DRJRC, VPG ," 4,283 "
DRJRC, Volume ," 950,929 "
DRSRC, Arrivals ," 1,408 "
DRSRC, % Penetraciï¿½n ,10.0%
DRSRC, Q's , 141 
DRSRC, Contracts , 29 
DRSRC, Average Price ," 21,215 "
DRSRC, Closing Rate ,20.6%
DRSRC, VPG ," 4,363 "
DRSRC, Volume ," 615,230 "
HYVGI, Arrivals ," 1,384 "
HYVGI, % Penetraciï¿½n ,7.8%
HYVGI, Q's , 108 
HYVGI, Contracts , 23 
HYVGI, Average Price ," 17,998 "
HYVGI, Closing Rate ,21.3%
HYVGI, VPG ," 3,833 "
HYVGI, Volume ," 413,956 "
SEACZ, Arrivals , 882 
SEACZ, % Penetraciï¿½n ,21.4%
SEACZ, Q's , 189 
SEACZ, Contracts , 30 
SEACZ, Average Price ," 18,437 "
SEACZ, Closing Rate ,15.9%
SEACZ, VPG ," 2,926 "
SEACZ, Volume ," 553,106 "
SEARM, Arrivals ," 1,558 "
SEARM, % Penetraciï¿½n ,14.4%
SEARM, Q's , 225 
SEARM, Contracts , 65 
SEARM, Average Price ," 29,694 "
SEARM, Closing Rate ,28.9%
SEARM, VPG ," 8,578 "
SEARM, Volume ," 1,930,096 "
SECPM, Arrivals ," 1,281 "
SECPM, % Penetraciï¿½n ,13.5%
SECPM, Q's , 173 
SECPM, Contracts , 41 
SECPM, Average Price ," 19,761 "
SECPM, Closing Rate ,23.7%
SECPM, VPG ," 4,683 "
SECPM, Volume ," 810,200 "
SECTU, Arrivals , 926 
SECTU, % Penetraciï¿½n ,21.3%
SECTU, Q's , 197 
SECTU, Contracts , 51 
SECTU, Average Price ," 20,743 "
SECTU, Closing Rate ,25.9%
SECTU, VPG ," 5,370 "
SECTU, Volume ," 1,057,910 "
SEIIM, Arrivals , 258 
SEIIM, % Penetraciï¿½n ,20.2%
SEIIM, Q's , 52 
SEIIM, Contracts , 14 
SEIIM, Average Price ," 37,075 "
SEIIM, Closing Rate ,26.9%
SEIIM, VPG ," 9,982 "
SEIIM, Volume ," 519,049 "
SEMRC, Arrivals ," 1,583 "
SEMRC, % Penetraciï¿½n ,19.5%
SEMRC, Q's , 309 
SEMRC, Contracts , 88 
SEMRC, Average Price ," 26,743 "
SEMRC, Closing Rate ,28.5%
SEMRC, VPG ," 7,616 "
SEMRC, Volume ," 2,353,426 "
SEPBC, Arrivals ," 1,832 "
SEPBC, % Penetraciï¿½n ,12.2%
SEPBC, Q's , 223 
SEPBC, Contracts , 47 
SEPBC, Average Price ," 25,399 "
SEPBC, Closing Rate ,21.1%
SEPBC, VPG ," 5,353 "
SEPBC, Volume ," 1,193,745 "
SEPDC, Arrivals ," 2,018 "
SEPDC, % Penetraciï¿½n ,14.5%
SEPDC, Q's , 292 
SEPDC, Contracts , 59 
SEPDC, Average Price ," 22,492 "
SEPDC, Closing Rate ,20.2%
SEPDC, VPG ," 4,545 "
SEPDC, Volume ," 1,327,022 "
SEVCU, Arrivals , - 
SEVCU, % Penetraciï¿½n ,0.0%
SEVCU, Q's , - 
SEVCU, Contracts , - 
SEVCU, Average Price , - 
SEVCU, Closing Rate ,0.0%
SEVCU, VPG , - 
SEVCU, Volume , - 
NOECU, Arrivals ," 1,161 "
NOECU, % Penetraciï¿½n ,15.0%
NOECU, Q's , 174 
NOECU, Contracts , 33 
NOECU, Average Price ," 15,884 "
NOECU, Closing Rate ,19.0%
NOECU, VPG ," 3,012 "
NOECU, Volume ," 524,170 "
CUNIF, Arrivals ," 1,699 "
CUNIF, % Penetraciï¿½n ,10.7%
CUNIF, Q's , 182 
CUNIF, Contracts , 33 
CUNIF, Average Price ," 20,350 "
CUNIF, Closing Rate ,18.1%
CUNIF, VPG ," 3,690 "
CUNIF, Volume ," 671,552 "
CANIA, Arrivals , 804 
CANIA, % Penetraciï¿½n ,13.4%
CANIA, Q's , 108 
CANIA, Contracts , 33 
CANIA, Average Price ," 20,074 "
CANIA, Closing Rate ,30.6%
CANIA, VPG ," 6,134 "
CANIA, Volume ," 662,434 "
CANIF, Arrivals ," 1,678 "
CANIF, % Penetraciï¿½n ,9.5%
CANIF, Q's , 159 
CANIF, Contracts , 26 
CANIF, Average Price ," 15,760 "
CANIF, Closing Rate ,16.3%
CANIF, VPG ," 2,571 "
CANIF, Volume ," 409,760 "
CUNIA, Arrivals , 808 
CUNIA, % Penetraciï¿½n ,9.5%
CUNIA, Q's , 77 
CUNIA, Contracts , 12 
CUNIA, Average Price ," 15,760 "
CUNIA, Closing Rate ,15.6%
CUNIA, VPG ," 2,463 "
CUNIA, Volume ," 189,120 "
HVPDC, Arrivals ," 1,527 "
HVPDC, % Penetraciï¿½n ,9.5%
HVPDC, Q's , 145 
HVPDC, Contracts , 23 
HVPDC, Average Price ," 16,050 "
HVPDC, Closing Rate ,15.9%
HVPDC, VPG ," 2,545 "
HVPDC, Volume ," 369,150 "
SUCUN, Arrivals ," 1,440 "
SUCUN, % Penetraciï¿½n ,9.5%
SUCUN, Q's , 137 
SUCUN, Contracts , 19 
SUCUN, Average Price ," 15,790 "
SUCUN, Closing Rate ,13.9%
SUCUN, VPG ," 2,193 "
SUCUN, Volume ," 300,010 "
LIBRE, Arrivals , - 
LIBRE, % Penetraciï¿½n ,0.0%
LIBRE, Q's , - 
LIBRE, Contracts , - 
LIBRE, Average Price , - 
LIBRE, Closing Rate ,0.0%
LIBRE, VPG , - 
LIBRE, Volume , - 
LIBRE, Arrivals , - 
LIBRE, % Penetraciï¿½n ,0.0%
LIBRE, Q's , - 
LIBRE, Contracts , - 
LIBRE, Average Price , - 
LIBRE, Closing Rate ,0.0%
LIBRE, VPG , - 
LIBRE, Volume , - 
BRCSL, Arrivals , 730 
BRCSL, % Penetraciï¿½n ,13.6%
BRCSL, Q's , 99 
BRCSL, Contracts , 17 
BRCSL, Average Price ," 16,738 "
BRCSL, Closing Rate ,17.2%
BRCSL, VPG ," 2,874 "
BRCSL, Volume ," 284,540 "
DRELC, Arrivals , 943 
DRELC, % Penetraciï¿½n ,16.2%
DRELC, Q's , 153 
DRELC, Contracts , 35 
DRELC, Average Price ," 18,080 "
DRELC, Closing Rate ,22.9%
DRELC, VPG ," 4,136 "
DRELC, Volume ," 632,793 "
SEPLC, Arrivals ," 1,890 "
SEPLC, % Penetraciï¿½n ,16.8%
SEPLC, Q's , 317 
SEPLC, Contracts , 75 
SEPLC, Average Price ," 15,359 "
SEPLC, Closing Rate ,23.7%
SEPLC, VPG ," 3,634 "
SEPLC, Volume ," 1,151,892 "
ZOCDM, Arrivals , 247 
ZOCDM, % Penetraciï¿½n ,15.8%
ZOCDM, Q's , 39 
ZOCDM, Contracts , 10 
ZOCDM, Average Price ," 17,820 "
ZOCDM, Closing Rate ,25.6%
ZOCDM, VPG ," 4,569 "
ZOCDM, Volume ," 178,203 "
SJDIF, Arrivals ," 1,424 "
SJDIF, % Penetraciï¿½n ,10.5%
SJDIF, Q's , 150 
SJDIF, Contracts , 29 
SJDIF, Average Price ," 16,000 "
SJDIF, Closing Rate ,19.4%
SJDIF, VPG ," 3,103 "
SJDIF, Volume ," 464,000 "
DRVPV, Arrivals , 854 
DRVPV, % Penetraciï¿½n ,13.0%
DRVPV, Q's , 111 
DRVPV, Contracts , 26 
DRVPV, Average Price ," 14,771 "
DRVPV, Closing Rate ,23.4%
DRVPV, VPG ," 3,460 "
DRVPV, Volume ," 384,046 "
SEVPV, Arrivals , 833 
SEVPV, % Penetraciï¿½n ,29.2%
SEVPV, Q's , 243 
SEVPV, Contracts , 53 
SEVPV, Average Price ," 21,264 "
SEVPV, Closing Rate ,21.8%
SEVPV, VPG ," 4,638 "
SEVPV, Volume ," 1,127,012 "
SUNPV, Arrivals , 995 
SUNPV, % Penetraciï¿½n ,6.9%
SUNPV, Q's , 69 
SUNPV, Contracts , 15 
SUNPV, Average Price ," 12,838 "
SUNPV, Closing Rate ,21.7%
SUNPV, VPG ," 2,791 "
SUNPV, Volume ," 192,568 "
DRBMI, Arrivals ," 1,105 "
DRBMI, % Penetraciï¿½n ,12.6%
DRBMI, Q's , 139 
DRBMI, Contracts , 33 
DRBMI, Average Price ," 16,070 "
DRBMI, Closing Rate ,23.7%
DRBMI, VPG ," 3,815 "
DRBMI, Volume ," 530,294 "
SEBMI, Arrivals , 749 
SEBMI, % Penetraciï¿½n ,21.6%
SEBMI, Q's , 162 
SEBMI, Contracts , 53 
SEBMI, Average Price ," 20,592 "
SEBMI, Closing Rate ,32.7%
SEBMI, VPG ," 6,737 "
SEBMI, Volume ," 1,091,357 "
DRMZT, Arrivals , 693 
DRMZT, % Penetraciï¿½n ,22.2%
DRMZT, Q's , 154 
DRMZT, Contracts , 39 
DRMZT, Average Price ," 14,405 "
DRMZT, Closing Rate ,25.3%
DRMZT, VPG ," 3,648 "
DRMZT, Volume ," 561,814 "
SUDIX, Arrivals , 964 
SUDIX, % Penetraciï¿½n ,10.1%
SUDIX, Q's , 97 
SUDIX, Contracts , 14 
SUDIX, Average Price ," 17,901 "
SUDIX, Closing Rate ,14.4%
SUDIX, VPG ," 2,584 "
SUDIX, Volume ," 250,610 "
DREHU, Arrivals ," 1,064 "
DREHU, % Penetraciï¿½n ,16.5%
DREHU, Q's , 176 
DREHU, Contracts , 40 
DREHU, Average Price ," 16,129 "
DREHU, Closing Rate ,22.7%
DREHU, VPG ," 3,666 "
DREHU, Volume ," 645,159 "
SECHU, Arrivals ," 1,011 "
SECHU, % Penetraciï¿½n ,20.5%
SECHU, Q's , 207 
SECHU, Contracts , 32 
SECHU, Average Price ," 11,788 "
SECHU, Closing Rate ,15.5%
SECHU, VPG ," 1,822 "
SECHU, Volume ," 377,215 "
SEPCR, Arrivals , 818 
SEPCR, % Penetraciï¿½n ,16.4%
SEPCR, Q's , 134 
SEPCR, Contracts , 26 
SEPCR, Average Price ," 17,483 "
SEPCR, Closing Rate ,19.4%
SEPCR, VPG ," 3,392 "
SEPCR, Volume ," 454,555 "
DDPBP, Arrivals , 992 
DDPBP, % Penetraciï¿½n ,8.2%
DDPBP, Q's , 81 
DDPBP, Contracts , 17 
DDPBP, Average Price ," 18,365 "
DDPBP, Closing Rate ,21.0%
DDPBP, VPG ," 3,854 "
DDPBP, Volume ," 312,204 "
PVRIF, Arrivals ," 1,002 "
PVRIF, % Penetraciï¿½n ,8.0%
PVRIF, Q's , 80 
PVRIF, Contracts , 15 
PVRIF, Average Price ," 15,500 "
PVRIF, Closing Rate ,18.7%
PVRIF, VPG ," 2,901 "
PVRIF, Volume ," 232,500 "
LIBRE, Arrivals , - 
LIBRE, % Penetraciï¿½n ,0.0%
LIBRE, Q's , - 
LIBRE, Contracts , - 
LIBRE, Average Price , - 
LIBRE, Closing Rate ,0.0%
LIBRE, VPG , - 
LIBRE, Volume , - 
BREPC, Arrivals ," 2,670 "
BREPC, % Penetraciï¿½n ,11.8%
BREPC, Q's , 314 
BREPC, Contracts , 36 
BREPC, Average Price ," 15,840 "
BREPC, Closing Rate ,11.5%
BREPC, VPG ," 1,816 "
BREPC, Volume ," 570,239 "
DREDL, Arrivals ," 1,404 "
DREDL, % Penetraciï¿½n ,3.9%
DREDL, Q's , 55 
DREDL, Contracts , 10 
DREDL, Average Price ," 15,238 "
DREDL, Closing Rate ,18.2%
DREDL, VPG ," 2,771 "
DREDL, Volume ," 152,379 "
DRECC, Arrivals ," 1,551 "
DRECC, % Penetraciï¿½n ,21.6%
DRECC, Q's , 335 
DRECC, Contracts , 55 
DRECC, Average Price ," 15,424 "
DRECC, Closing Rate ,16.4%
DRECC, VPG ," 2,532 "
DRECC, Volume ," 848,323 "
DREPE, Arrivals ," 1,285 "
DREPE, % Penetraciï¿½n ,9.1%
DREPE, Q's , 117 
DREPE, Contracts , 26 
DREPE, Average Price ," 16,516 "
DREPE, Closing Rate ,22.2%
DREPE, VPG ," 3,670 "
DREPE, Volume ," 429,423 "
DRFPC, Arrivals ," 1,792 "
DRFPC, % Penetraciï¿½n ,7.1%
DRFPC, Q's , 128 
DRFPC, Contracts , 26 
DRFPC, Average Price ," 21,776 "
DRFPC, Closing Rate ,20.3%
DRFPC, VPG ," 4,423 "
DRFPC, Volume ," 566,177 "
DRMPC, Arrivals ," 1,678 "
DRMPC, % Penetraciï¿½n ,8.1%
DRMPC, Q's , 136 
DRMPC, Contracts , 25 
DRMPC, Average Price ," 19,155 "
DRMPC, Closing Rate ,18.4%
DRMPC, VPG ," 3,521 "
DRMPC, Volume ," 478,871 "
DROPC, Arrivals ," 3,013 "
DROPC, % Penetraciï¿½n ,10.8%
DROPC, Q's , 324 
DROPC, Contracts , 48 
DROPC, Average Price ," 27,574 "
DROPC, Closing Rate ,14.8%
DROPC, VPG ," 4,085 "
DROPC, Volume ," 1,323,558 "
DRRPC, Arrivals ," 1,818 "
DRRPC, % Penetraciï¿½n ,8.4%
DRRPC, Q's , 152 
