BRECU, Arrivals ,1541
BRECU, % Penetraciï¿½n ,0.126
BRECU, Q's ,194
BRECU, Contracts ,23
BRECU, Average Price ,15053
BRECU, Closing Rate ,0.119
BRECU, VPG ,1785
BRECU, Volume ,346229
BRERC, Arrivals ,1629
BRERC, % Penetraciï¿½n ,0.11
BRERC, Q's ,179
BRERC, Contracts ,30
BRERC, Average Price ,14703
BRERC, Closing Rate ,0.168
BRERC, VPG ,2464
BRERC, Volume ,441102
DRCZM, Arrivals ,431
DRCZM, % Penetraciï¿½n ,0.114
DRCZM, Q's ,49
DRCZM, Contracts ,6
DRCZM, Average Price ,14782
DRCZM, Closing Rate ,0.122
DRCZM, VPG ,1810
DRCZM, Volume ,88691
DRENA, Arrivals ,1373
DRENA, % Penetraciï¿½n ,0.104
DRENA, Q's ,143
DRENA, Contracts ,16
DRENA, Average Price ,15268
DRENA, Closing Rate ,0.112
DRENA, VPG ,1708
DRENA, Volume ,244294
DREPA, Arrivals ,754
DREPA, % Penetraciï¿½n ,0.07
DREPA, Q's ,53
DREPA, Contracts ,7
DREPA, Average Price ,19023
DREPA, Closing Rate ,0.132
DREPA, VPG ,2512
DREPA, Volume ,133162
DREPM, Arrivals ,1131
DREPM, % Penetraciï¿½n ,0.134
DREPM, Q's ,152
DREPM, Contracts ,20
DREPM, Average Price ,22468
DREPM, Closing Rate ,0.132
DREPM, VPG ,2956
DREPM, Volume ,449356
DRERC, Arrivals ,1214
DRERC, % Penetraciï¿½n ,0.102
DRERC, Q's ,124
DRERC, Contracts ,15
DRERC, Average Price ,12007
DRERC, Closing Rate ,0.121
DRERC, VPG ,1452
DRERC, Volume ,180104
DRESC, Arrivals ,1627
DRESC, % Penetraciï¿½n ,0.131
DRESC, Q's ,213
DRESC, Contracts ,35
DRESC, Average Price ,10560
DRESC, Closing Rate ,0.164
DRESC, VPG ,1735
DRESC, Volume ,369614
DRETU, Arrivals ,688
DRETU, % Penetraciï¿½n ,0.145
DRETU, Q's ,100
DRETU, Contracts ,13
DRETU, Average Price ,12436
DRETU, Closing Rate ,0.13
DRETU, VPG ,1617
DRETU, Volume ,161672
DREVC, Arrivals ,1020
DREVC, % Penetraciï¿½n ,0.143
DREVC, Q's ,146
DREVC, Contracts ,26
DREVC, Average Price ,12904
DREVC, Closing Rate ,0.178
DREVC, VPG ,2298
DREVC, Volume ,335513
DRJRC, Arrivals ,836
DRJRC, % Penetraciï¿½n ,0.122
DRJRC, Q's ,102
DRJRC, Contracts ,12
DRJRC, Average Price ,13332
DRJRC, Closing Rate ,0.118
DRJRC, VPG ,1568
DRJRC, Volume ,159985
DRSRC, Arrivals ,1269
DRSRC, % Penetraciï¿½n ,0.079
DRSRC, Q's ,100
DRSRC, Contracts ,11
DRSRC, Average Price ,11560
DRSRC, Closing Rate ,0.11
DRSRC, VPG ,1272
DRSRC, Volume ,127162
HYVGI, Arrivals ,941
HYVGI, % Penetraciï¿½n ,0.078
HYVGI, Q's ,73
HYVGI, Contracts ,7
HYVGI, Average Price ,9744
HYVGI, Closing Rate ,0.096
HYVGI, VPG ,934
HYVGI, Volume ,68208
SEACZ, Arrivals ,659
SEACZ, % Penetraciï¿½n ,0.137
SEACZ, Q's ,90
SEACZ, Contracts ,18
SEACZ, Average Price ,13995
SEACZ, Closing Rate ,0.2
SEACZ, VPG ,2799
SEACZ, Volume ,251904
SEARM, Arrivals ,1637
SEARM, % Penetraciï¿½n ,0.101
SEARM, Q's ,166
SEARM, Contracts ,35
SEARM, Average Price ,28361
SEARM, Closing Rate ,0.211
SEARM, VPG ,5980
SEARM, Volume ,992630
SECPM, Arrivals ,1023
SECPM, % Penetraciï¿½n ,0.058
SECPM, Q's ,59
SECPM, Contracts ,15
SECPM, Average Price ,17167
SECPM, Closing Rate ,0.254
SECPM, VPG ,4364
SECPM, Volume ,257498
SECTU, Arrivals ,745
SECTU, % Penetraciï¿½n ,0.161
SECTU, Q's ,120
SECTU, Contracts ,17
SECTU, Average Price ,15563
SECTU, Closing Rate ,0.142
SECTU, VPG ,2205
SECTU, Volume ,264564
SEIIM, Arrivals ,269
SEIIM, % Penetraciï¿½n ,0.115
SEIIM, Q's ,31
SEIIM, Contracts ,7
SEIIM, Average Price ,32329
SEIIM, Closing Rate ,0.226
SEIIM, VPG ,7300
SEIIM, Volume ,226300
SEMRC, Arrivals ,1546
SEMRC, % Penetraciï¿½n ,0.129
SEMRC, Q's ,200
SEMRC, Contracts ,31
SEMRC, Average Price ,17801
SEMRC, Closing Rate ,0.155
SEMRC, VPG ,2759
SEMRC, Volume ,551834
SEPBC, Arrivals ,1679
SEPBC, % Penetraciï¿½n ,0.107
SEPBC, Q's ,180
SEPBC, Contracts ,21
SEPBC, Average Price ,18425
SEPBC, Closing Rate ,0.117
SEPBC, VPG ,2150
SEPBC, Volume ,386935
SEPDC, Arrivals ,2020
SEPDC, % Penetraciï¿½n ,0.107
