[SalesRoom]	[Sales Type]	[Membership Type]	[Average Price]	[Closing Rate]	[Arrivals]	[Contracts Processable]
BRCSL	N	Choices	6500	0.4	617	2
BRCSL	N	Emerald	18631.2	1.666666667	617	5
BRCSL	N	Pearl	13320	1	617	1
BRCSL	U	Emerald	11130	1.5	37	3
BRCSL	U	Gold	20849.42667	1	37	3
BRCSL	U	Impression	25300	1	37	1
BRCSL	U	Platinum	19900	1	37	1
BRECU	N	Choices	6760.203636	1.222222222	1353	11
BRECU	N	Emerald	25573.75	1	1353	4
BRECU	N	Pearl	14301.5	0.8	1353	8
BRECU	U	Emerald	11916.78	1	52	3
BRECU	U	Gold	10689.66	1	52	1
BRECU	U	Silver	10125	1	52	1
BREPC	N	Choices	6434.925	0.888888889	2418	8
BREPC	N	Gold	40050	1	2418	1
BREPC	N	Pearl	14317	1	2418	1
BREPC	U	Emerald	13504.84	1	149	11
BREPC	U	Gold	16135.6	1	149	5
BREPC	U	Platinum	29149	1	149	1
BREPC	U	Silver	19156.87	1	149	2
BRERC	N	Choices	7260	0.5	1789	5
BRERC	N	Diamond	99900	1	1789	1
BRERC	N	Emerald	21400.66667	1	1789	9
BRERC	N	Pearl	12854.69375	1	1789	8
BRERC	N	Platinum	79900	1	1789	1
BRERC	N	Silver	31703.66667	1	1789	3
BRERC	U	Emerald	11487.5	0.666666667	176	2
BRERC	U	Gold	19625	1	176	3
BRERC	U	Impression	66373.78125	1	176	8
BRERC	U	Silver	13957.78	1	176	3
CANIA	N	Choices	6740	0.857142857	667	6
CANIA	N	Emerald	23950	2	667	4
CANIA	N	Pearl	13866.034	0.833333333	667	5
CANIA	U	Diamond	19900	1	65	1
CANIA	U	Emerald	12833.876	0.714285714	65	5
CANIA	U	Gold	27100	1	65	3
CANIA	U	Impression	51032.76	1	65	3
CANIA	U	Platinum	28000	0.5	65	1
CANIA	U	Silver	22100	1	65	1
CANIF	N	Choices	6015	0.666666667	1426	2
CANIF	N	Emerald	25175	0.5	1426	4
CANIF	N	Pearl	14116.66667	0.6	1426	3
CANIF	N	Silver	39950	0.5	1426	1
CANIF	U	Emerald	5777	1	4	1
CUNIA	N	Choices	6780.414	0.833333333	687	5
CUNIA	N	Pearl	13100	0.75	687	3
CUNIF	N	Choices	6500.2	0.833333333	736	5
CUNIF	N	Emerald	19977	1	736	3
CUNIF	N	Pearl	12358.33333	1	736	3
CUNIF	N	Silver	28452	1	736	1
CUNIF	U	Emerald	11465.52	0.5	44	1
CUNIF	U	Pearl	6810.34	1	44	1
CUNIF	U	Platinum	9483.62	1	44	1
DDPBP	N	Choices	7100	1	631	3
DDPBP	N	Pearl	16500	1	631	1
DDPBP	U	Emerald	11535.97667	1	66	3
DDPBP	U	Gold	26400	1	66	3
DDPBP	U	Platinum	41500	1	66	1
DRBMI	N	Choices	5363.9844	0.5	600	1
DRBMI	N	Emerald	17261.31375	0.666666667	600	8
DRBMI	N	Pearl	10993.84	1	600	7
DRBMI	N	Silver	27423.56333	1	600	3
DRBMI	U	Diamond	23381	1	113	1
DRBMI	U	Emerald	11703.4225	1	113	4
DRBMI	U	Gold	20310.34571	1.4	113	7
DRBMI	U	Impression	51446.895	1	113	2
DRBMI	U	Pearl	6724.14	1	113	1
DRBMI	U	Platinum	35978.0425	1	113	4
DRBMI	U	Silver	11346.98	1	113	2
DRCUR	N	Choices	7200	1	682	1
DRCUR	N	Emerald	18849	1	682	1
DRCUR	U	Emerald	11916	1.333333333	77	4
DRCUR	U	Gold	13100	1	77	1
DRCUR	U	Impression	25600	1	77	1
DRCUR	U	Platinum	27200	1	77	1
DRCUR	U	Silver	10212.5	1	77	2
DRCZM	N	Choices	5555.5556	0.5	410	1
DRCZM	N	Pearl	15933.33333	1	410	3
DRCZM	U	Impression	73800	1	60	1
DRCZM	U	Platinum	19990	1	60	1
DRECC	N	Choices	6386	0.5	1114	3
DRECC	N	Emerald	19050	0.444444444	1114	4
DRECC	N	Gold	57475	1	1114	2
DRECC	U	Emerald	13490.5	1	53	2
DRECC	U	Gold	19724.33333	1	53	3
DRECC	U	Impression	106900	1	53	1
DRECC	U	Platinum	37600	1	53	1
DREDL	N	Choices	6877.2	1	1435	5
DREDL	N	Emerald	25700	0.5	1435	1
DREDL	N	Gold	49900	1	1435	1
DREDL	N	Pearl	14228.57143	0.7	1435	7
DREDL	U	Emerald	18312.04	1.2	46	6
DREDL	U	Gold	34533	1	46	1
DREDL	U	Impression	23124	1	46	1
DREDL	U	Platinum	23195.25	1	46	2
DREHU	N	Choices	5661.802254	0.684210526	1067	13
DREHU	N	Emerald	15251.94	0.666666667	1067	8
DREHU	N	Gold	44840.52	1	1067	1
DREHU	N	Pearl	10144.5168	0.892857143	1067	25
DREHU	N	Silver	23620.69	1	1067	2
DREHU	U	Emerald	8772.415	1	74	2
DREHU	U	Pearl	6300	1	74	1
DREHU	U	Platinum	22350	1	74	2
DRELC	N	Choices	7200.125	0.8	797	8
DRELC	N	Emerald	20922.5	1	797	4
DRELC	N	Pearl	14050	0.5	797	2
DRELC	N	Silver	29682.5	1	797	2
DRELC	U	Diamond	29430	1	148	2
DRELC	U	Emerald	9900	1	148	1
DRELC	U	Gold	22249.83333	1.5	148	6
DRELC	U	Impression	39900	1	148	1
DRELC	U	Silver	13674.75	1.333333333	148	4
DRENA	N	Choices	6540	0.714285714	1314	5
DRENA	N	Emerald	22462	1	1314	1
DRENA	N	Gold	59925	1	1314	1
DRENA	N	Pearl	15975	0.25	1314	1
DRENA	U	Diamond	30995	1	255	1
DRENA	U	Emerald	9908.92875	1	255	8
DRENA	U	Gold	10915.33667	1.5	255	3
DRENA	U	Impression	40572.25333	1	255	3
DRENA	U	Platinum	25290	1	255	3
DRENA	U	Silver	16147.5	1	255	2
DREPA	N	Choices	7010	0.5	714	1
DREPA	N	Emerald	21500	1	714	1
DREPA	N	Pearl	12925	1	714	4
DREPA	U	Diamond	22753	1	72	1
DREPA	U	Emerald	11270.254	1	72	5
DREPA	U	Gold	21559.16667	1	72	3
DREPA	U	Impression	33500	1	72	2
DREPA	U	Platinum	20327.585	1	72	2
DREPA	U	Silver	11903.015	1	72	2
DREPE	N	Choices	6908	2	1084	2
DREPE	N	Emerald	24800	1	1084	1
DREPE	N	Pearl	14600	1	1084	1
